日期,CNN恐惧与贪婪,VIX,标普RSI14,纳指RSI14,双RSI均值,PE百分位,PB百分位,估值温度,综合档位,建议总仓位,标普仓位,纳指仓位,策略
2026-05-27,60,17.0,70.5,74.3,72.4,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-05-28,60,16.3,64.6,69.4,67.0,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-05-29,60,15.7,70.8,72.1,71.4,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-05-30,60,15.3,68.1,67.2,67.6,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-05-31,60,15.3,68.1,67.2,67.6,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-06-01,60,15.3,68.1,67.2,67.6,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-06-02,59,16.0,68.5,68.2,68.4,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-06-03,57,15.8,70.7,75.1,72.9,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-06-04,54,16.1,60.6,70.3,65.4,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-05,54,15.4,58.5,64.2,61.4,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-06,42,21.5,47.9,47.9,47.9,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-07,42,21.5,47.9,47.9,47.9,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-08,42,21.5,47.9,47.9,47.9,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-09,40,18.9,50.2,55.0,52.6,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-10,33,19.9,52.8,53.0,52.9,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-11,27,22.2,36.7,41.2,39.0,45,42,43.5,低估恐慌,80%-90%,40%-45%,40%-45%,市场低估，可加大定投与布局力度
2026-06-12,29,19.4,46.5,50.8,48.6,45,42,43.5,低估恐慌,80%-90%,40%-45%,40%-45%,市场低估，可加大定投与布局力度
2026-06-13,34,17.7,47.2,51.4,49.3,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-14,34,17.7,47.2,51.4,49.3,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-15,34,17.7,47.2,51.4,49.3,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-16,40,16.2,52.1,54.7,53.4,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-17,39,16.4,49.5,50.0,49.8,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-18,32,18.4,42.2,45.7,44.0,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-19,37,16.4,45.9,50.5,48.2,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-20,37,16.8,45.9,50.5,48.2,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-21,37,16.4,45.9,50.5,48.2,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-22,37,16.4,45.9,50.5,48.2,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
2026-06-23,27,19.5,38.7,41.5,40.1,45,42,43.5,低估恐慌,80%-90%,40%-45%,40%-45%,市场低估，可加大定投与布局力度
2026-06-25,25,18.6,40.6,41.3,41.0,45,42,43.5,低估恐慌,80%-90%,40%-45%,40%-45%,市场低估，可加大定投与布局力度
2026-06-26,25,18.9,38.7,43.8,41.2,45,42,43.5,低估恐慌,80%-90%,40%-45%,40%-45%,市场低估，可加大定投与布局力度
2026-06-27,24,18.4,48.2,51.2,49.7,45,42,43.5,低估恐慌,80%-90%,40%-45%,40%-45%,市场低估，可加大定投与布局力度
2026-06-28,24,18.9,nan,nan,nan,45,42,43.5,低估恐慌,80%-90%,40%-45%,40%-45%,市场低估，可加大定投与布局力度
2026-06-29,24,18.4,48.2,51.2,49.7,45,42,43.5,低估恐慌,80%-90%,40%-45%,40%-45%,市场低估，可加大定投与布局力度
2026-06-30,27,17.6,52.0,52.6,52.3,45,42,43.5,低估恐慌,80%-90%,40%-45%,40%-45%,市场低估，可加大定投与布局力度
2026-07-01,31,16.5,56.2,58.4,57.3,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,均衡持仓，正常定投可小幅加仓
